Mixture,Classical monocytes,NK cells,B cells,pDC,Mast cells,T cytotoxic,Non-classical monocytes,cDC2,cDC1,DC_Mature,Tregs,T helper,B Plasma,Macrophage,Macrophage_Alveolar,P-value,Correlation,RMSE,Absolute score (sig.score)
DSP-1001660014616-A-D09.dcc,0.0401683470148128,0.0566513749296072,0.0411211722045611,0.0354128544137635,0.0684530314283166,0.138975609087675,0.0860103301906463,0.1276961299507,0,0.234828091489213,0.16138554291703,0.158282634080923,0.0205132026979188,0.0392578407285007,0.0816212856184491,0,0.287806489437574,0.960219171282887,1.29037744675212
DSP-1001660014616-A-D10.dcc,0.0325386146263906,0.0740232683251288,0.0113363095046903,0.0866730096761156,0.172444573770605,0.0924571788705925,0,0.0656473218473704,0.0103263444515813,0.198562315251494,0.0559256783965864,0.0586258666337315,0.266294869734385,0.166059958755104,0.0842840641864619,0,0.434479251121602,0.914891264805648,1.37519937403024
DSP-1001660014616-A-D11.dcc,0.0210135162028417,0.0457315263024488,0.0985283353305025,0.0602941722383904,0.159737230971833,0.0149826598887602,0.00109257973700939,0.185594836543302,0,0.145701377144827,0.0840191444985104,0.168598710711151,0.147131059014261,0.141148002879946,0.0593809355074586,0,0.331426615878618,0.944193312269923,1.33295408697124
DSP-1001660014616-A-D12.dcc,0.0711055799505312,0.0997316290711159,0.096793625303237,0.05570317924189,0.0759392541025716,0,0,0.138442481739349,0,0.183350928083398,0.0643056889816221,0.304986648570638,0.0259949543368719,0.166947507912501,0.0180036284434955,0,0.382552976090045,0.937291071706846,1.30130510573722
DSP-1001660014616-A-E01.dcc,0.0270964391494742,0.0555607312362928,0.0758827519923104,0.0952214552863875,0.138187512133808,0.096246712738746,0.11375188429518,0.0170239446786685,0,0.177237982773772,0.0935004999661594,0.0971517510153833,0.108495673522764,0.121391776276256,0.147253291142918,0,0.269287491560122,0.963881873500959,1.36400240620812
DSP-1001660014616-A-E02.dcc,0.0965246517091277,0.0754407499651332,0.0503410502096486,0.0779462723429762,0.125753743132236,0.0111991176190589,0.0225636702589274,0.171848801277048,0,0.191281850485892,0.13432332729729,0.140571873800125,0.0375014003926173,0.0969659235400798,0.0976852009726614,0,0.338344626711219,0.946866274351173,1.32994763300282
DSP-1001660014616-A-E03.dcc,0,0.0652203066270855,0.092947756724326,0.146543418087122,0.190207293619782,0.000773606884492874,0.105612708946278,0.173772144218057,0.0276098749027566,0.235281408264159,0.0369383319130703,0.177314648198058,0.0187971207718435,0.0925882868694954,0.129078998126197,0,0.210690829470281,0.97743233329351,1.49268590415272
DSP-1001660014616-A-E04.dcc,0,0.0379032449488813,0.107361782837787,0.123187031885286,0.22664493577383,0.0202657133860424,0.0921247523390571,0.237027441796841,0,0.168279868902401,0.160825970129579,0.092776269316024,0.00659683532279036,0.0925511871211278,0.162402031278807,0,0.239665758757872,0.970605590056413,1.52794706503845
DSP-1001660014616-A-E05.dcc,0,0.0311875495186467,0.0129470720654874,0.19735137729079,0.196823696643361,0,0.127079465486889,0.0410116649729685,0.00318503886571415,0.202003811815796,0.139737931951313,0.155652855726029,0.0319981151214396,0.171122147131283,0.154028357823513,0,0.25885291035246,0.965734981755661,1.46412908441323
DSP-1001660014616-A-E06.dcc,0,0.086238939562651,0.126834573311448,0.144407553608151,0.170680474285373,0.041622398137977,0.119519743330086,0.145220840431511,0,0.158525262109207,0.0300109867835361,0.188018044650741,0.0289906133080969,0.122198842588583,0.117051941989658,0,0.225735830611299,0.973933122643791,1.47932021409702
DSP-1001660014616-A-E07.dcc,0,0,0.129935264808824,0.0759429731295364,0.0872278639446118,0.139517388030713,0.151235809072533,0.0973494761333634,0,0.137812868080542,0.118339448440876,0.137346756156485,0.021851151793639,0.050883263720497,0.153177389823366,0,0.260053327235731,0.966622685571215,1.30061965313499
DSP-1001660014616-A-E08.dcc,0.0641549491996657,0.0712459539083339,0.112702621768382,0.0685538495763492,0.104776110150354,0.0314999100908961,0.0555326636862684,0.123200989161994,0,0.131553703825438,0.0770475318617642,0.147772786522141,0.0555640671871103,0.136939682257214,0.140494298683644,0,0.382835537186814,0.93307416868314,1.32103911787955
