"","Mixture","Classical.monocytes","NK.cells","B.cells","pDC","Mast.cells","T.cytotoxic","Non.classical.monocytes","cDC2","cDC1","DC_Mature","Tregs","T.helper","B.Plasma","Macrophage","Macrophage_Alveolar","P.value","Correlation","RMSE","Absolute.score..sig.score."
"302","DSP-1001660011972-E-E05.dcc",0.0847182871905415,0.0462498139304173,0.00955992004742654,0.0926778636086525,0.153195748344732,0.0679013509478296,0.0381919053321541,0.0863282422492027,0.0506952097349462,0.155208028788663,0.11631574381455,0.136481733527787,0.0113295562622079,0.23774673974587,0.194838591649362,0,0.42628389973622,0.916851127537767,1.48143873517434
"303","DSP-1001660011972-E-E06.dcc",0.106904266860852,0.0118545360272903,0,0.121066527667819,0.124823034587601,0.0929577254826324,0.031506910361124,0.0406237188143031,0.0416215381373504,0.156795253168091,0.132138003152435,0.0563673713860324,0.0598005754778185,0.28338717862785,0.233304613608145,0,0.405690143832538,0.917533632450234,1.49315125335934
"304","DSP-1001660011972-E-E07.dcc",0.170601634440489,0.0901917580944362,0.0265214038686578,0.117727548438115,0.120211828825217,0.0183657586039918,0.000533447604351969,0.0538751844881922,0.0635659370490131,0.183356230795742,0.0718337194098276,0.150434586203674,0,0.23934443776451,0.155627768317053,0,0.415532506379266,0.919752015226549,1.46219124390327
"305","DSP-1001660011972-E-E08.dcc",0.0466752709084928,0.0404956510701544,0,0.0894831302607718,0.12320659213168,0.145247864346735,0.0507485997537684,0.0510355863587156,0.0702920788092866,0.1494309885292,0.0558236553844926,0.166009116782153,0.0592973830556912,0.26666924580036,0.137925460093621,0,0.440204497826782,0.91103073741294,1.45234062328512
"306","DSP-1001660011972-E-E09.dcc",0.110981218828862,0.0640612243045098,0,0.0892279252129257,0.128301727258668,0.0644689945563633,0.0357877651414092,0.082035742388702,0.0569515903527721,0.155684696292769,0.0594771137166342,0.137826584093076,0.0736482783229369,0.210946658677872,0.199294668997289,0,0.374020709881823,0.929827037958194,1.46869418814479
"307","DSP-1001660011972-E-E10.dcc",0.096766602459891,0.0782881959940643,0.0260865127868629,0.145490326368016,0.153253857402392,0.0385937279171755,0.0206883143359677,0.0754690803128071,0.0147220929655939,0.157397902827467,0.104683617077568,0.135268155949093,0.00165879612088345,0.231524037359676,0.156461399354634,0,0.40628423389935,0.925065543428545,1.43635261923209
"308","DSP-1001660011972-E-E11.dcc",0.165077919466923,0.0680916572384652,0.0530184861698196,0.0872924207311937,0.124641630802528,0.0465674979460148,0.00168415867726808,0.11367256736593,0.0472248153143331,0.158221946368811,0.031591985042396,0.166592689574561,0.0142686274005209,0.234414625491423,0.143989258852175,0,0.40756755061672,0.922769157567912,1.45635028644236
"309","DSP-1001660011972-E-E12.dcc",0.0102199477960326,0.0209791381780243,0.0466816220237133,0.127872746211817,0.160553072609685,0.0553772264239532,0.0694142006210848,0.0699226442839029,0.0525977217524045,0.155792349422338,0.0857850514649069,0.110138420909485,0.0127215803051609,0.266727543326578,0.22488108352486,0,0.30080802602577,0.953625918432029,1.46966434885395
"326","DSP-1001660011972-E-G05.dcc",0.0388464558399162,0.0732695778972708,0.0909021679911364,0.134980909127639,0.0871655293686974,0.0567065614372853,0.0404238023699459,0.120262891759741,0,0.247265295002479,0.112092975504751,0.0841520768065386,0.0433592961560458,0.0618490007845891,0.0216047356702833,0,0.370078524082696,0.938166003022755,1.21288127571632
"327","DSP-1001660011972-E-G06.dcc",0,0.0341781183816137,0.216181514693192,0.0874822263661611,0.0754960723604767,0.110943468620165,0.0832865739936969,0.0880195291031221,0,0.165835899482188,0.086145105574766,0.142258645604729,0.0316823122723129,0.0811706030886488,0.0431912483682848,0,0.380353301860249,0.941059735546552,1.24587131790936
"328","DSP-1001660011972-E-G07.dcc",0,0.032420182842327,0.198611794573847,0.0833800357112532,0.106150511032013,0.0373608090947227,0.0620568118935166,0.0721801414882578,0,0.21815373014795,0.130781224581974,0.169901618917974,0.0159793469769073,0.0740091747635866,0.0190069272863401,0,0.425269697431261,0.929412229920647,1.21999230931067
"329","DSP-1001660011972-E-G08.dcc",0.0184315848887547,0.0785469742781569,0.145658826831553,0.0789705708302429,0.086412956098243,0.066402551653973,0.0641643107497287,0.0310812178523774,0,0.265374637435011,0.0574365030209724,0.142222028346972,0.0415936007839602,0.0955332321808816,0.0537689489879564,0,0.385949927112754,0.934229375852822,1.22559794393878
"330","DSP-1001660011972-E-G09.dcc",0.0248821773480099,0.0702432005746693,0.146401388746468,0.0697156236308351,0.101793246672889,0.109989538437095,0,0.129775703753607,0,0.160320514408573,0.0942645586275906,0.1849788247188,0.0165516391254297,0.115538558214689,0.0357574902569615,0,0.388823021399676,0.93995603196206,1.26021246451562
